school_id,stage,instruction_languages,confidence,source,match_method,match_score,chsc_name,inference_reason,notes
edb_513709000123,小學,ENGLISH|PUTONGHUA|CANTONESE,HIGH,"CHSC primary EN",exact_en,1.000,"Salesian School"
edb_114855000323,小學,CANTONESE,HIGH,"CHSC primary EN",exact_en,1.000,"Tai Po Baptist Public School"
edb_114855000223,小學,CANTONESE,HIGH,"CHSC primary EN",exact_en,1.000,"Tai Po Baptist Public School"
edb_115584000223,小學,ENGLISH|PUTONGHUA|CANTONESE,HIGH,"CHSC primary EN",exact_en,1.000,"Stewards Pooi Kei Primary School"
edb_610224000123,小學,CANTONESE,HIGH,"CHSC primary TC",exact_zh,1.000,"新界婦孺福利會基督教銘恩小學"
edb_512036000123,小學,ENGLISH|CANTONESE,HIGH,"CHSC primary TC",exact_zh,1.000,"東華三院鶴山學校"
edb_115762000123,小學,ENGLISH|PUTONGHUA|CANTONESE,HIGH,"CHSC primary TC",exact_zh,1.000,"仁濟醫院蔡衍濤小學"
edb_114928000123,小學,CANTONESE,HIGH,"CHSC primary TC",exact_zh,1.000,"仁愛堂劉皇發夫人小學"
edb_114723000123,小學,ENGLISH|CANTONESE,HIGH,"CHSC primary EN",exact_en,1.000,"Free Methodist Mei Lam Primary School"
edb_512060000223,小學,CANTONESE,HIGH,"CHSC primary EN",exact_en,1.000,"Holy Family Canossian School"
edb_514519000223,小學,ENGLISH,HIGH,"CHSC primary EN",exact_en,1.000,"Hong Kong Taoist Association Wun Tsuen School"
edb_511161000123,小學,CANTONESE,HIGH,"CHSC primary EN",exact_en,1.000,"Baptist Hung Hin Shiu Rainbow Primary School"
edb_511129000123,小學,CANTONESE,HIGH,"CHSC primary EN",exact_en,1.000,"Alliance Primary School, Tai Hang Tung"
edb_115320000123,小學,CANTONESE,HIGH,"CHSC primary TC",exact_zh,1.000,"香港中文大學校友會聯會張煊昌學校"
edb_114499000123,小學,CANTONESE,HIGH,"CHSC primary TC",exact_zh,1.000,"東華三院高可寧紀念小學"
edb_518425000123,小學,CANTONESE,HIGH,"CHSC primary EN",exact_en,1.000,"S.K.H. Lee Shiu Keung Primary School"
edb_113247000123,小學,CANTONESE,HIGH,"CHSC primary EN",exact_en,1.000,"Asbury Methodist Primary School"
edb_513474000123,小學,ENGLISH|PUTONGHUA|CANTONESE,HIGH,"CHSC primary EN",exact_en,1.000,"S.K.H. Kei Lok Primary School"
edb_512176000123,小學,ENGLISH|CANTONESE,HIGH,"CHSC primary EN",exact_en,1.000,"Hop Yat Church School"
edb_560642000123,小學,CANTONESE,HIGH,"CHSC primary TC",exact_zh,1.000,"中華基督教會基華小學（九龍塘）"
edb_543233000223,小學,ENGLISH|CANTONESE,HIGH,"CHSC primary EN",exact_en,1.000,"Christian Pui Yan Primary School"
edb_113417000223,小學,CANTONESE,HIGH,"CHSC primary TC",exact_zh,1.000,"中華基督教會全完第一小學"
edb_115568000123,小學,ENGLISH|CANTONESE,HIGH,"CHSC primary TC",exact_zh,1.000,"中華基督教會蒙黃花沃紀念小學"
edb_114634000223,小學,CANTONESE,HIGH,"CHSC primary TC",exact_zh,1.000,"保良局蕭漢森小學"
edb_115509000123,小學,ENGLISH|PUTONGHUA|CANTONESE,HIGH,"CHSC primary EN",exact_en,1.000,"Sha Tin Methodist Primary School"
edb_536547000223,小學,CANTONESE,HIGH,"CHSC primary EN",exact_en,1.000,"Tung Chung Catholic School"
edb_113000000123,小學,CANTONESE,HIGH,"CHSC primary EN",exact_en,1.000,"Tung Koon School"
edb_512176000223,小學,ENGLISH|CANTONESE,HIGH,"CHSC primary EN",exact_en,1.000,"Hop Yat Church School"
edb_623709000123,小學,ENGLISH|CANTONESE,HIGH,"CHSC primary EN",exact_en,1.000,"The Pentecostal Holiness Church Wing Kwong Junior School"
edb_513687000122,小學,ENGLISH|PUTONGHUA|CANTONESE,HIGH,"CHSC primary EN",exact_en,1.000,"Sacred Heart Canossian School"
edb_513130000223,小學,CANTONESE,HIGH,"CHSC primary EN",exact_en,1.000,"Cheung Sha Wan Catholic Primary School"
edb_114871000123,小學,CANTONESE,HIGH,"CHSC primary EN",exact_en,1.000,"The Salvation Army Tin Ka Ping School"
edb_150436000123,小學,CANTONESE,HIGH,"CHSC primary EN",exact_en,1.000,"Meng Tak Catholic School"
edb_513385000123,小學,CANTONESE,HIGH,"CHSC primary EN",exact_en,1.000,"Pui Tak Canossian Primary School"
edb_579220000123,小學,CANTONESE,HIGH,"CHSC primary EN",exact_en,1.000,"Sha Tin Wai Dr. Catherine F. Woo Memorial School"
edb_170194000223,小學,CANTONESE,HIGH,"CHSC primary EN",exact_en,1.000,"St. Stephen's Girls' Primary School"
edb_511439000123,小學,ENGLISH|PUTONGHUA|CANTONESE,HIGH,"CHSC primary TC",exact_zh,1.000,"中華基督教會長洲堂錦江小學"
edb_543179000123,小學,CANTONESE,HIGH,"CHSC primary EN",exact_en,1.000,"S.K.H. Tsing Yi Chu Yan Primary School"
